기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리
20250607,출발시간,1635,ST-55,여의동_006_11,ST-293,영등포동_019_1,1,38.0,6215.0
20250607,출발시간,1705,ST-1720,오륜동_001_4,ST-1079,방이1동_021_1,2,24.0,3128.0
20250607,출발시간,1700,ST-2823,신길6동_018_1,ST-286,신대방2동_011_1,1,17.0,672.0
20250607,출발시간,1815,ST-366,옥수동_045_1,ST-366,옥수동_045_1,1,90.0,9960.0
20250607,도착시간,35,ST-1661,자양4동_009_1,ST-378,구의3동_048_1,1,15.0,2201.0
20250607,출발시간,1620,ST-1062,공항동_004_1,ST-2031,가양1동_018_1,1,20.0,2451.0
20250607,도착시간,1845,ST-1952,항동_016_4,ST-1239,오류2동_018_1,1,7.0,1855.0
20250607,도착시간,1000,ST-815,역삼2동_003_2,ST-811,역삼1동_009_1,1,52.0,848.0
20250607,도착시간,1615,ST-344,성산2동_076_2,ST-350,북가좌1동_004_2,1,97.0,2403.0
20250607,출발시간,1210,ST-2075,월계3동_003_1,ST-2289,묵2동_007_1,1,12.0,1900.0
20250607,도착시간,1750,ST-296,여의동_004_1,ST-296,여의동_004_1,1,,
20250607,출발시간,250,ST-1815,창신3동_003_2,ST-175,숭인1동_009_1,1,4.0,679.0
20250607,출발시간,30,ST-1268,보라매동_001_1,ST-1264,청룡동_031_1,1,10.0,1788.0
20250607,출발시간,25,ST-2031,가양1동_018_1,ST-2482,방화1동_023_1,2,17.0,2037.0
20250607,출발시간,2015,ST-683,노량진1동_001_3,ST-687,노량진2동_003_1,2,38.0,3463.0
20250607,도착시간,1210,ST-1065,가양1동_016_2,ST-2036,가양1동_017_2,1,5.0,617.0
20250607,출발시간,1325,ST-534,화곡4동_013_1,ST-1017,목5동_008_1,1,11.0,1752.0
20250607,도착시간,2215,ST-2609,잠실6동_017_1,ST-1409,잠실4동_027_1,1,77.0,5320.0
20250607,도착시간,1635,ST-1083,풍납1동_003_1,ST-492,암사2동_002_1,2,27.0,2682.0
20250607,도착시간,1000,ST-2894,독산1동_026_2,ST-1753,구로3동_037_2,1,16.0,1988.0
20250607,도착시간,2155,ST-781,양재2동_039_5,ST-770,양재1동_018_2,1,3.0,656.0
20250607,출발시간,2055,ST-540,잠실7동_001_2,ST-892,방이1동_009_1,1,40.0,6551.0
20250607,도착시간,30,ST-3125,염창동_087_1,ST-3068,염창동_064_1,1,6.0,722.0
20250607,출발시간,1250,ST-1753,구로3동_037_2,ST-3029,가산동_010_1,2,22.0,2139.0
20250607,도착시간,1520,ST-2879,신정2동_026_1,ST-1731,목1동_003_5,1,3.0,480.0
20250607,도착시간,1850,ST-1691,대흥동_014_1,ST-24,신수동_005_1,1,4.0,490.0
20250607,출발시간,240,ST-2903,황학동_017_1,ST-175,숭인1동_009_1,1,5.0,583.0
20250607,도착시간,2045,ST-2006,신정2동_003_1,ST-1531,구로1동_003_1,1,105.0,12890.0
20250607,도착시간,430,ST-2033,가양1동_012_7,ST-824,방화1동_008_1,1,12.0,2411.0
20250607,도착시간,1130,ST-17,홍은2동_035_1,ST-220,홍은2동_012_1,1,15.0,2792.0
20250607,출발시간,50,ST-895,거여1동_021_1,ST-1419,장지동_008_1,1,52.0,1788.0
20250607,도착시간,920,ST-1219,구로1동_002_1,ST-870,개봉1동_043_3,1,9.0,1132.0
20250607,도착시간,1205,ST-1645,공항동_030_1,ST-1645,공항동_030_1,1,51.0,705.0
20250607,출발시간,1905,ST-2265,이문2동_031_1,ST-2498,휘경1동_017_1,1,5.0,684.0
20250607,도착시간,1500,ST-419,당산1동_006_1,ST-287,당산2동_017_1,1,7.0,1030.0
20250607,출발시간,25,ST-3288,상계2동_031_2,ST-1122,"상계3,4동_047_1",1,10.0,1460.0
20250607,출발시간,1005,ST-947,삼선동_026_1,ST-2226,삼선동_002_2,1,4.0,607.0
20250607,출발시간,1200,ST-1496,목5동_028_1,ST-1495,목5동_035_1,1,4.0,703.0
20250607,출발시간,1725,ST-2156,합정동_006_1,ST-2905,망원1동_005_1,1,76.0,8315.0
20250607,출발시간,1805,ST-1584,잠실6동_004_1,ST-553,잠실3동_034_1,1,33.0,2405.0
20250607,출발시간,1500,ST-2206,북가좌1동_017_1,ST-3347,연희동_065_1,2,43.0,3928.0
20250607,출발시간,1935,ST-3212,당산1동_009_1,ST-8,합정동_023_2,1,34.0,3410.0
20250607,도착시간,725,ST-3033,홍은2동_025_1,ST-17,홍은2동_035_1,1,55.0,10920.0
20250607,도착시간,1735,ST-2177,한강로동_012_1,ST-1326,한강로동_013_1,1,3.0,793.0
20250607,도착시간,2110,ST-68,여의동_042_1,ST-68,여의동_042_1,1,57.0,6766.0
20250607,출발시간,640,ST-289,문래동_003_2,ST-420,영등포동_021_4,1,3.0,640.0
20250607,도착시간,1420,ST-2036,가양1동_017_2,ST-2569,가양1동_016_7,1,4.0,554.0
20250607,도착시간,1425,ST-1995,목1동_006_2,ST-1018,목5동_051_1,1,8.0,871.0
20250607,출발시간,1315,ST-2830,구의2동_004_1,ST-385,능동_002_6,1,3.0,492.0
20250607,출발시간,1940,ST-2574,풍납2동_049_3,ST-2748,성내2동_023_1,1,18.0,3008.0
20250607,도착시간,1135,ST-2825,응암2동_050_1,ST-473,불광1동_018_3,1,88.0,4000.0
20250607,도착시간,1715,ST-3117,신대방2동_033_1,ST-2654,신대방2동_009_1,1,5.0,1026.0
20250607,출발시간,1255,ST-119,사직동_008_1,ST-123,사직동_006_1,2,38.0,1320.0
20250607,출발시간,2015,ST-727,신대방1동_046_1,ST-1545,노량진1동_001_1,1,34.0,5131.0
20250607,도착시간,1645,ST-1224,구로3동_037_1,ST-8,합정동_023_2,1,73.0,13998.0
20250607,출발시간,2140,ST-2309,구의3동_044_1,ST-114,군자동_017_1,1,20.0,2910.0
20250607,출발시간,105,ST-2581,장지동_051_1,ST-1075,문정1동_017_1,1,12.0,1331.0
20250607,도착시간,535,ST-492,암사2동_002_1,ST-3209,천호2동_005_1,1,7.0,1090.0
20250607,출발시간,1905,ST-1539,양평2동_029_1,ST-3187,당산2동_003_1,1,7.0,864.0
